Epochs,Overall- train,Overall- test,"Blond, male- train","Blond, female- train","Not blond, male- train","Not blond, female- train","Blond, male- test","Blond, female- test","Not blond, male- test","Not blond, female- test"
1.0,0.854,0.854,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
2.0,0.854,0.854,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
3.0,0.8868,0.8864,0.0,0.3168604651162791,0.9801980198019802,0.9937777777777778,0.1,0.3464788732394366,0.9683301343570058,0.9908508691674291
4.0,0.8924,0.8908,0.047619047619047616,0.39825581395348836,0.9702970297029703,0.9893333333333333,0.1,0.4,0.9664107485604606,0.9853613906678865
5.0,0.9024,0.9036,0.09523809523809523,0.5261627906976745,0.9643564356435643,0.9768888888888889,0.1,0.5380281690140845,0.9606525911708254,0.9752973467520586
6.0,0.9084,0.902,0.09523809523809523,0.5145348837209303,0.9752475247524752,0.984,0.1,0.49577464788732395,0.9673704414587332,0.9789569990850869
7.0,0.9108,0.9032,0.2857142857142857,0.7180232558139535,0.9524752475247524,0.944,0.1,0.6957746478873239,0.9385796545105566,0.9441903019213175
8.0,0.9088,0.8884,0.5714285714285714,0.8343023255813954,0.9297029702970298,0.9191111111111111,0.2,0.7887323943661971,0.9165067178502879,0.9002744739249772
9.0,0.9264,0.9108,0.2857142857142857,0.686046511627907,0.9702970297029703,0.9724444444444444,0.1,0.6507042253521127,0.9577735124760077,0.9579139981701739
10.0,0.9376,0.9124,0.38095238095238093,0.7761627906976745,0.9702970297029703,0.968,0.1,0.6929577464788732,0.9500959692898272,0.9551692589204026
11.0,0.9376,0.9132,0.38095238095238093,0.7732558139534884,0.9742574257425742,0.9653333333333334,0.2,0.7014084507042253,0.9539347408829175,0.94967978042086
12.0,0.9424,0.9052,0.47619047619047616,0.8575581395348837,0.9673267326732673,0.9546666666666667,0.1,0.7549295774647887,0.946257197696737,0.9222323879231473
13.0,0.9404,0.9128000000000001,0.3333333333333333,0.7093023255813954,0.9851485148514851,0.9822222222222222,0.1,0.5859154929577465,0.9702495201535508,0.9716376944190301
14.0,0.9364,0.916,0.23809523809523808,0.6598837209302325,0.9900990099009901,0.9857777777777778,0.1,0.5661971830985916,0.9846449136276392,0.9716376944190301
15.0,0.9496,0.9192,0.38095238095238093,0.7936046511627907,0.9851485148514851,0.976,0.1,0.6873239436619718,0.9654510556621881,0.9579139981701739
16.0,0.9372,0.918,0.23809523809523808,0.6540697674418605,0.9910891089108911,0.9884444444444445,0.1,0.5549295774647888,0.9817658349328215,0.9826166514181153
17.0,0.9452,0.9168000000000001,0.23809523809523808,0.7093023255813954,0.9910891089108911,0.9893333333333333,0.1,0.5549295774647888,0.9875239923224568,0.9743824336688015
18.0,0.9436,0.9148000000000001,0.38095238095238093,0.6947674418604651,0.994059405940594,0.9848888888888889,0.1,0.5521126760563381,0.9798464491362764,0.9780420860018298
19.0,0.9584,0.9224,0.47619047619047616,0.8197674418604651,0.9910891089108911,0.9804444444444445,0.1,0.6619718309859155,0.9750479846449136,0.9643183897529735
20.0,0.9632000000000001,0.922,0.47619047619047616,0.8546511627906976,0.9900990099009901,0.9813333333333333,0.1,0.6732394366197183,0.972168905950096,0.9624885635864593
