Epochs,Overall- train,Overall- test,"Blond, male- train","Blond, female- train","Not blond, male- train","Not blond, female- train","Blond, male- test","Blond, female- test","Not blond, male- test","Not blond, female- test"
52.0,0.987,0.906,0.9230769230769231,0.9911971830985915,0.9951070336391438,0.9791078486730661,0.0,0.8473282442748091,0.9544364508393285,0.8881431767337807
53.0,0.97975,0.919,0.8076923076923077,0.8961267605633803,0.9926605504587156,0.9971767363071711,0.0,0.6641221374045801,0.9760191846522782,0.9507829977628636
54.0,0.98925,0.9299999999999999,0.8076923076923077,0.9419014084507042,1.0,0.9971767363071711,0.0,0.6641221374045801,0.9904076738609112,0.9619686800894854
55.0,0.982,0.919,0.8461538461538461,0.903169014084507,0.9963302752293578,0.9960474308300395,0.0,0.6412213740458015,0.9760191846522782,0.9574944071588367
56.0,0.996,0.9299999999999999,0.9615384615384616,0.9859154929577465,0.999388379204893,0.9966120835686053,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
57.0,0.99725,0.926,0.9230769230769231,0.9911971830985915,0.998776758409786,0.9988706945228685,0.0,0.7557251908396947,0.9784172661870504,0.9373601789709173
58.0,0.996,0.9339999999999999,0.9615384615384616,0.9735915492957746,1.0,1.0,0.0,0.6946564885496184,0.9832134292565947,0.9686800894854586
59.0,0.99525,0.9359999999999999,0.8846153846153846,0.9735915492957746,1.0,0.9994353472614342,0.0,0.7022900763358778,0.9928057553956835,0.9619686800894854
60.0,0.99425,0.912,1.0,1.0,0.9957186544342508,0.9909655561829475,0.0,0.8320610687022901,0.9592326139088729,0.901565995525727
61.0,0.99925,0.929,1.0,0.9947183098591549,1.0,1.0,0.0,0.7099236641221374,0.988009592326139,0.9485458612975392
62.0,1.0,0.926,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9784172661870504,0.9328859060402684
63.0,0.99575,0.924,1.0,0.9982394366197183,0.999388379204893,0.9915302089215132,0.0,0.7786259541984732,0.9760191846522782,0.9284116331096197
64.0,0.99975,0.929,1.0,0.9982394366197183,1.0,1.0,0.0,0.7175572519083969,0.9904076738609112,0.9440715883668904
65.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7786259541984732,0.9832134292565947,0.9351230425055929
